id,name,role,unit,status,photo,equipment
op_evento_publico_001,Carlos Ruiz,supervisor,team_evento_publico_010101,standby,https://placehold.co/300x300?text=op_evento_publico_001,bodycam;gps_tracker;radio
op_evento_publico_002,Lucia Navarro,operador,team_evento_publico_010102,active,https://placehold.co/300x300?text=op_evento_publico_002,bodycam;gps_tracker;radio
op_evento_publico_003,Javier Diaz,conductor,team_evento_publico_010103,active,https://placehold.co/300x300?text=op_evento_publico_003,bodycam;gps_tracker;radio
op_evento_publico_004,Marta Vega,tecnico_drones,team_evento_publico_010104,active,https://placehold.co/300x300?text=op_evento_publico_004,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_005,Sergio Castro,operador_CCTV,team_evento_publico_010105,active,https://placehold.co/300x300?text=op_evento_publico_005,gps_tracker;radio;terminal_video
op_evento_publico_006,Ana Serrano,supervisor,team_evento_publico_010201,standby,https://placehold.co/300x300?text=op_evento_publico_006,bodycam;gps_tracker;radio
op_evento_publico_007,Diego Fuentes,operador,team_evento_publico_010202,active,https://placehold.co/300x300?text=op_evento_publico_007,bodycam;gps_tracker;radio
op_evento_publico_008,Elena Santos,conductor,team_evento_publico_010203,active,https://placehold.co/300x300?text=op_evento_publico_008,bodycam;gps_tracker;radio
op_evento_publico_009,Raul Lopez,tecnico_drones,team_evento_publico_010204,standby,https://placehold.co/300x300?text=op_evento_publico_009,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_010,Nuria Ortega,operador_CCTV,team_evento_publico_010205,active,https://placehold.co/300x300?text=op_evento_publico_010,gps_tracker;radio;terminal_video
op_evento_publico_011,Pablo Cano,supervisor,team_evento_publico_010101,active,https://placehold.co/300x300?text=op_evento_publico_011,bodycam;gps_tracker;radio
op_evento_publico_012,Irene Romero,operador,team_evento_publico_010102,on_break,https://placehold.co/300x300?text=op_evento_publico_012,bodycam;gps_tracker;radio
op_evento_publico_013,Hector Nunez,conductor,team_evento_publico_010103,active,https://placehold.co/300x300?text=op_evento_publico_013,bodycam;gps_tracker;radio
op_evento_publico_014,Paula Rey,tecnico_drones,team_evento_publico_010104,standby,https://placehold.co/300x300?text=op_evento_publico_014,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_015,Ruben Gomez,operador_CCTV,team_evento_publico_010105,active,https://placehold.co/300x300?text=op_evento_publico_015,gps_tracker;radio;terminal_video
op_evento_publico_016,Clara Martinez,supervisor,team_evento_publico_010201,active,https://placehold.co/300x300?text=op_evento_publico_016,bodycam;gps_tracker;radio
op_evento_publico_017,Adrian Pardo,operador,team_evento_publico_010202,active,https://placehold.co/300x300?text=op_evento_publico_017,bodycam;gps_tracker;radio
op_evento_publico_018,Noelia Molina,conductor,team_evento_publico_010203,standby,https://placehold.co/300x300?text=op_evento_publico_018,bodycam;gps_tracker;radio
